"Kelder"	 	 	"0/-/-"	""	""	""	""	"Auto"
 	"Valgustus"	 	"0/0/-"	""	""	""	""	"Auto"
 	 	"Koridori valgus seinal"	"0/0/1"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Keldri valgus"	"0/0/2"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Koridori valgus riiulid"	"0/0/3"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Koridori valgus laes"	"0/0/4"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Abiruumi valgus"	"0/0/5"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Katlaruumi valgus"	"0/0/6"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Sahvri valgus"	"0/0/7"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Tehnoruumi valgus"	"0/0/8"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Keldri WC-esine valgus"	"0/0/9"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Puhkeruumi tuled paremal"	"0/0/10"	""	""	""	"DPST-1-1"	"Auto"
 	 	"102 Basseini küljetuli"	"0/0/12"	""	""	""	"DPST-1-1"	"Auto"
 	 	"102 Basseini otsatuli"	"0/0/13"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Kogu kelder valgeks"	"0/0/14"	""	""	""	"DPST-1-1"	"Auto"
 	 	"009 Trepihalli valgus"	"0/0/17"	""	""	""	"DPST-1-1"	"Auto"
 	 	"006 Leiliruumi valgus"	"0/0/18"	""	""	""	"DPST-1-1"	"Auto"
 	 	"007 WC valgus"	"0/0/19"	""	""	""	"DPST-1-1"	"Auto"
 	 	"002 Puhkeruumi tuled vasakul"	"0/0/20"	""	""	""	"DPST-1-1"	"Auto"
 	 	"004 Pesuruumi valgus"	"0/0/21"	""	""	""	"DPST-1-1"	"Auto"
 	 	"STATE - Koridori valgus seinal"	"0/0/101"	""	""	""	"DPST-1-1"	"Auto"
 	 	"STATE - Keldri valgus"	"0/0/102"	""	""	""	"DPST-1-1"	"Auto"
 	 	"STATE - Koridori valgus riiulid"	"0/0/103"	""	""	""	"DPST-1-1"	"Auto"
 	 	"STATE - Koridori valgus laes"	"0/0/104"	""	""	""	"DPST-1-1"	"Auto"
 	 	"STATE - Abiruumi valgus"	"0/0/105"	""	""	""	"DPST-1-1"	"Auto"
